pdf_path,paper_folder,note_slug,is_main_pdf,pdf_role,source_kind,parse_issue
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/relabel_new_colors.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/tformer_activations.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/throughput_appendix_v2.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/throughput_main_v2.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/final/all_babyai_curves.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/final/arch_fig_v4.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/final/atari_results_larger_font.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/final/babyai_draft_figure_v2.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/final/bin_comparison_popgym.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/final/condensed_twohot_prediction_error.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/final/drqv2_aug_procgen_example.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/final/fig1_v2_rerendered.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/final/icrl_babyai_figure.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/final/mario_appendix_result.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/final/metaworld_main_text-2.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/final/offline_vision_arch_charts.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/final/popgym_appendix_learning_curves_final.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/final/popgym_results_summary_final.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/final/procgen_combined.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/final/procgen_frame_count_pie_chart.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/final/procgen_memory_hard_new6.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/final/procgen_reward_scaling_summary.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/final/symlog_vs_no_symlog_appendix.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/final/twohot_prediction_error.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/raw_metaworld_curves/raw_metaworld_curves_page0-2.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/raw_metaworld_curves/raw_metaworld_curves_page1-2.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/raw_metaworld_curves/raw_metaworld_curves_page2-5.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/raw_metaworld_curves/raw_metaworld_curves_page3-3.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/raw_metaworld_curves/raw_metaworld_curves_page4-2.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/raw_metaworld_curves/raw_metaworld_curves_page5-3.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
