seed,agent,global_step,task_id,belief_top_task,belief_top_prob,belief_correct
0,explicit_state,200,0,0,0.9646936824437299,1
0,explicit_state,201,0,0,0.9646936824976377,1
0,explicit_state,202,0,0,0.9646936825161011,1
0,explicit_state,203,0,0,0.9646936825224248,1
0,explicit_state,204,0,0,0.9646936825245906,1
0,explicit_state,205,0,0,0.9646936825253325,1
0,explicit_state,206,0,0,0.9646936825255865,1
0,explicit_state,207,0,0,0.9646936825256736,1
0,explicit_state,208,0,0,0.9646936825257034,1
0,explicit_state,209,0,0,0.9646936825257136,1
0,explicit_state,210,0,0,0.9646936825257172,1
0,explicit_state,211,0,0,0.9646936825257183,1
0,explicit_state,212,0,0,0.9646936825257187,1
0,explicit_state,213,0,0,0.9646936825257189,1
0,explicit_state,214,0,0,0.9646936825257189,1
0,explicit_state,215,0,0,0.6314467914476272,1
0,explicit_state,216,0,0,0.8351960573715511,1
0,explicit_state,217,0,0,0.9184776780082055,1
0,explicit_state,218,0,0,0.9486450470712815,1
0,explicit_state,219,0,0,0.5788693786956742,1
0,explicit_state,220,0,0,0.8105691265929376,1
0,explicit_state,221,0,0,0.9092026827643935,1
0,explicit_state,222,0,0,0.9453687130829985,1
0,explicit_state,223,0,0,0.9580373667737568,1
0,explicit_state,224,0,0,0.9624094885951449,1
0,explicit_state,225,0,0,0.9639108279092939,1
0,explicit_state,226,0,0,0.9644254935775749,1
0,explicit_state,227,0,0,0.9646018204718392,1
0,explicit_state,228,0,0,0.9646622188582556,1
0,explicit_state,229,0,0,0.9646829060942147,1
0,explicit_state,230,0,0,0.9646899915769925,1
0,explicit_state,231,0,0,0.9646924183711917,1
0,explicit_state,232,0,0,0.9646932495515247,1
0,explicit_state,233,0,0,0.6314452430293326,1
0,explicit_state,234,0,0,0.8351953556887882,1
0,explicit_state,235,0,0,0.9184774162295843,1
0,explicit_state,236,0,0,0.9486449548725802,1
0,explicit_state,237,0,0,0.9591711924551245,1
0,explicit_state,238,0,0,0.9627991991405984,1
0,explicit_state,239,0,0,0.9640444653427457,1
0,explicit_state,240,1,0,0.6291336301196927,0
0,explicit_state,241,1,1,0.39864481276990815,1
0,explicit_state,242,1,1,0.7092697843849685,1
0,explicit_state,243,1,1,0.8689593004724622,1
0,explicit_state,244,1,1,0.9309185749331443,1
